Testpaar ; <keine> ; 1 ; 4 ; 150 ; Match ; 11 ; 9. ; 10,3 ; i ; 108,2 ; -544,4 ; 555,05 ; 281,241 ; 19:09:52 ; 329,5465 ; 16.07.2016 ; SpO 1.80 ; frei ; 
Testpaar ; <keine> ; 1 ; 5 ; 150 ; Match ; 0 ; 6. ; 8,8 ; j ; -1021,1 ; 1405,1 ; 1736,94 ; 126,006 ; 18:52:13 ; 162,6399 ; 16.07.2016 ; SpO 1.80 ; frei ; 
Testpaar ; <keine> ; 1 ; 3 ; 151 ; Match ; 11 ; 6. ; 10 ; m ; 505,2 ; -620,3 ; 800 ; 309,161 ; 18:47:17 ; 274,5931 ; 16.07.2016 ; SpO 1.80 ; frei ; 
Testpaar ; <keine> ; 1 ; 5 ; 151 ; Match ; 0 ; 7. ; 8,9 ; j ; -1510,7 ; 691,5 ; 1661,44 ; 155,405 ; 18:52:31 ; 181,0619 ; 16.07.2016 ; SpO 1.80 ; frei ; 
Testpaar ; <keine> ; 1 ; 1 ; 151 ; Match ; 0 ; 1. ; 5,8 ; h ; 467 ; 4094 ; 4120,55 ; 83,492 ; 19:22:04 ; 83,74988 ; 16.07.2016 ; SpO 1.80 ; frei ; 
Testpaar ; <keine> ; 1 ; 2 ; 151 ; Match ; 0 ; 9. ; 9,8 ; j ; -431,7 ; 806,3 ; 914,6 ; 118,165 ; 19:00:09 ; 516,0306 ; 16.07.2016 ; SpO 1.80 ; frei ; 
Testpaar ; <keine> ; 1 ; 5 ; 151 ; Match ; 0 ; 8. ; 8,7 ; f ; -1778,6 ; 279,8 ; 1800,47 ; 171,06 ; 18:53:02 ; 211,6399 ; 16.07.2016 ; SpO 1.80 ; frei ; 
Testpaar ; <keine> ; 1 ; 4 ; 153 ; Match ; 11 ; 10. ; 10,3 ; k ; 333,1 ; 427,9 ; 542,27 ; 52,101 ; 19:10:45 ; 381,8905 ; 16.07.2016 ; SpO 1.80 ; frei ; 
Testpaar ; <keine> ; 1 ; 1 ; 232 ; Match ; 0 ; 2. ; 9,6 ; m ; 475,4 ; -946 ; 1058,74 ; 296,681 ; 19:22:31 ; 110,8119 ; 16.07.2016 ; SpO 1.80 ; frei ; 
Testpaar ; <keine> ; 1 ; 5 ; 232 ; Match ; 0 ; 9. ; 7,4 ; f ; -2803,1 ; -552,2 ; 2856,97 ; 191,144 ; 18:53:24 ; 233,9839 ; 16.07.2016 ; SpO 1.80 ; frei ; 
Testpaar ; <keine> ; 1 ; 2 ; 232 ; Match ; 0 ; 10. ; 10 ; j ; -389,9 ; 608,3 ; 722,53 ; 122,659 ; 19:00:54 ; 560,2806 ; 16.07.2016 ; SpO 1.80 ; frei ; 
Testpaar ; <keine> ; 1 ; 3 ; 232 ; Match ; 11 ; 7. ; 9,4 ; g ; 1178,8 ; 315,8 ; 1220,37 ; 14,997 ; 18:48:37 ; 354,4841 ; 16.07.2016 ; SpO 1.80 ; frei ; 
Testpaar ; <keine> ; 1 ; 1 ; 232 ; Match ; 0 ; 3. ; 9,6 ; g ; 1100,6 ; -203,6 ; 1119,27 ; 349,519 ; 19:22:59 ; 138,8119 ; 16.07.2016 ; SpO 1.80 ; frei ; 
Testpaar ; <keine> ; 1 ; 5 ; 233 ; Match ; 0 ; 10. ; 8,8 ; j ; -1183,9 ; 1272,2 ; 1737,85 ; 132,941 ; 18:53:50 ; 260,3429 ; 16.07.2016 ; SpO 1.80 ; frei ; 
Testpaar ; <keine> ; 1 ; 1 ; 233 ; Match ; 0 ; 4. ; 7,7 ; k ; 1983,8 ; 1718,4 ; 2624,57 ; 40,9 ; 19:23:22 ; 161,4219 ; 16.07.2016 ; SpO 1.80 ; frei ; 
Testpaar ; <keine> ; 1 ; 4 ; 233 ; Match ; 11 ; 1. ; 9,8 ; f ; -906,3 ; 218,9 ; 932,36 ; 166,421 ; 19:12:02 ; 42,26563 ; 16.07.2016 ; SpO 1.80 ; frei ; 
Testpaar ; <keine> ; 1 ; 2 ; 233 ; Match ; 0 ; 11. ; 10,1 ; j ; -600,6 ; 354,2 ; 697,26 ; 149,47 ; 19:01:42 ; 608,4216 ; 16.07.2016 ; SpO 1.80 ; frei ; 
Testpaar ; <keine> ; 1 ; 1 ; 233 ; Match ; 0 ; 5. ; 7,8 ; k ; 1510 ; 1996,5 ; 2503,22 ; 52,899 ; 19:23:52 ; 192,0619 ; 16.07.2016 ; SpO 1.80 ; frei ; 
Testpaar ; <keine> ; 1 ; 4 ; 234 ; Match ; 11 ; 2. ; 10,4 ; j ; -400,8 ; 189,2 ; 443,21 ; 154,73 ; 19:12:29 ; 68,82762 ; 16.07.2016 ; SpO 1.80 ; frei ; 
Testpaar ; <keine> ; 1 ; 4 ; 246 ; Match ; 11 ; 3. ; 9 ; f ; -1464,4 ; -517,5 ; 1553,15 ; 199,463 ; 19:13:03 ; 102,7026 ; 16.07.2016 ; SpO 1.80 ; frei ; 
Testpaar ; <keine> ; 1 ; 1 ; 246 ; Match ; 0 ; 6. ; 8,5 ; g ; 1959,9 ; 36,4 ; 1960,24 ; 1,064 ; 19:24:45 ; 245,0469 ; 16.07.2016 ; SpO 1.80 ; frei ; 
Testpaar ; <keine> ; 1 ; 2 ; 246 ; Match ; 0 ; 12. ; 9,9 ; h ; 191,4 ; 801,8 ; 824,33 ; 76,574 ; 19:02:42 ; 668,4526 ; 16.07.2016 ; SpO 1.80 ; frei ; 
Testpaar ; <keine> ; 1 ; 4 ; 246 ; Match ; 11 ; 4. ; 10,7 ; R ; 119,9 ; 181,4 ; 217,44 ; 56,536 ; 19:13:31 ; 130,5306 ; 16.07.2016 ; SpO 1.80 ; frei ; 
Testpaar ; <keine> ; 1 ; 5 ; 246 ; Match ; 0 ; 1. ; 9,2 ; l ; -1241,5 ; -645 ; 1399,05 ; 207,453 ; 18:55:50 ; 43,81187 ; 16.07.2016 ; SpO 1.80 ; frei ; 
Testpaar ; <keine> ; 1 ; 3 ; 247 ; Match ; 0 ; 1. ; 10,1 ; m ; 560,9 ; -401,5 ; 689,79 ; 324,404 ; 18:50:44 ; 92,421 ; 16.07.2016 ; SpO 1.80 ; frei ; 
Testpaar ; <keine> ; 1 ; 2 ; 247 ; Match ; 0 ; 13. ; 10,1 ; l ; -464,9 ; -453,2 ; 649,25 ; 224,27 ; 19:03:08 ; 694,5616 ; 16.07.2016 ; SpO 1.80 ; frei ; 
Testpaar ; <keine> ; 1 ; 3 ; 247 ; Match ; 0 ; 3. ; 10 ; m ; 471,4 ; -618,2 ; 777,42 ; 307,327 ; 18:51:55 ; 164,218 ; 16.07.2016 ; SpO 1.80 ; frei ; 
Testpaar ; <keine> ; 1 ; 1 ; 247 ; Match ; 0 ; 9. ; 9,1 ; k ; 1213,3 ; 787 ; 1446,19 ; 32,969 ; 19:26:18 ; 338,0929 ; 16.07.2016 ; SpO 1.80 ; frei ; 
Testpaar ; <keine> ; 1 ; 2 ; 247 ; Match ; 0 ; 15. ; 10,4 ; f ; -407 ; 20,9 ; 407,54 ; 177,06 ; 19:04:21 ; 767,5466 ; 16.07.2016 ; SpO 1.80 ; frei ; 
Testpaar ; <keine> ; 1 ; 3 ; 240 ; Match ; 0 ; 4. ; 9,6 ; m ; 793,1 ; -675,5 ; 1041,78 ; 319,578 ; 18:52:22 ; 191,125 ; 16.07.2016 ; SpO 1.80 ; frei ; 
Testpaar ; <keine> ; 1 ; 1 ; 253 ; Match ; 0 ; 10. ; 8,5 ; k ; 1548,7 ; 1138,7 ; 1922,27 ; 36,326 ; 19:26:51 ; 370,3899 ; 16.07.2016 ; SpO 1.80 ; frei ; 
Testpaar ; <keine> ; 1 ; 2 ; 253 ; Match ; 0 ; 16. ; 9,9 ; k ; 746,8 ; 397,2 ; 845,86 ; 28,007 ; 19:04:57 ; 803,7496 ; 16.07.2016 ; SpO 1.80 ; frei ; 
Testpaar ; <keine> ; 1 ; 3 ; 253 ; Match ; 0 ; 5. ; 9,9 ; m ; 631 ; -589,6 ; 863,59 ; 316,943 ; 18:53:01 ; 229,375 ; 16.07.2016 ; SpO 1.80 ; frei ; 
Testpaar ; <keine> ; 1 ; 2 ; 253 ; Match ; 0 ; 17. ; 10,6 ; R ; 40,4 ; 307,9 ; 310,54 ; 82,525 ; 19:05:25 ; 831,9836 ; 16.07.2016 ; SpO 1.80 ; frei ; 
Testpaar ; <keine> ; 1 ; 2 ; 253 ; Match ; 0 ; 18. ; 10,1 ; i ; -240,4 ; -654,4 ; 697,16 ; 249,829 ; 19:05:54 ; 861,1246 ; 16.07.2016 ; SpO 1.80 ; frei ; 
Testpaar ; <keine> ; 1 ; 5 ; 257 ; Match ; 10 ; 1. ; 9,2 ; h ; -167,3 ; 1361,4 ; 1371,64 ; 97,006 ; 18:58:52 ; 67 ; 16.07.2016 ; SpO 1.80 ; frei ; 
Testpaar ; <keine> ; 1 ; 3 ; 257 ; Match ; 0 ; 6. ; 8,8 ; m ; 1106,7 ; -1273,4 ; 1687,11 ; 310,994 ; 18:54:00 ; 289,328 ; 16.07.2016 ; SpO 1.80 ; frei ; 
Testpaar ; <keine> ; 1 ; 2 ; 257 ; Match ; 0 ; 19. ; 10 ; h ; 68 ; 754,5 ; 757,56 ; 84,85 ; 19:06:39 ; 906,0466 ; 16.07.2016 ; SpO 1.80 ; frei ; 
Testpaar ; <keine> ; 1 ; 3 ; 257 ; Match ; 0 ; 7. ; 10,1 ; i ; -198,4 ; -624,7 ; 655,45 ; 252,381 ; 18:54:32 ; 320,468 ; 16.07.2016 ; SpO 1.80 ; frei ; 
Testpaar ; <keine> ; 1 ; 4 ; 257 ; Match ; 0 ; 1. ; 8,6 ; i ; -353,3 ; -1846,7 ; 1880,19 ; 259,169 ; 19:17:37 ; 222,3121 ; 16.07.2016 ; SpO 1.80 ; frei ; 
Testpaar ; <keine> ; 1 ; 3 ; 258 ; Match ; 0 ; 8. ; 8,4 ; h ; 57,8 ; 2020,4 ; 2021,23 ; 88,361 ; 18:55:04 ; 352,562 ; 16.07.2016 ; SpO 1.80 ; frei ; 
